borrow_date,return_date,book_num,ISBN,book_name,borrow_or_extend,year_borrow,admission_year,department,b_department
2019-04-03 9:39,2019-05-07 14:50,E504781,9.78893E+12,종교사회학,연장,62,2017,기독교학과,인문대학
2019-04-03 9:39,2019-05-07 14:50,E504781,9.78893E+12,종교사회학,연장,62,2017,기독교학과,인문대학
2019-04-03 9:40,2019-04-08 14:50,E346431,9.78898E+12,불교 조각,대출,57,2015,사학과,인문대학
2019-04-03 9:40,2019-04-08 14:50,E346431,9.78898E+12,불교 조각,연장,57,2015,사학과,인문대학
2019-04-03 9:40,2019-04-08 5:54,E301835,9.78895E+12,중국의 불교미술 :후한시대에서 원시대까지,대출,57,2015,사학과,인문대학
2019-04-03 9:40,2019-05-02 11:55,E663898,9.78893E+12,한국고대 불교조각사 연구,대출,57,2015,사학과,인문대학
2019-04-03 9:40,2019-05-02 11:55,E663898,9.78893E+12,한국고대 불교조각사 연구,연장,57,2015,사학과,인문대학
2019-04-03 9:40,2019-05-02 11:55,E663898,9.78893E+12,한국고대 불교조각사 연구,연장,57,2015,사학과,인문대학
2019-04-03 9:40,2019-04-01 16:45,E692761,9.78897E+12,"고요한 폭풍, 스피노자 :자유를 향한 철학적 여정",대출,30,2014,국어국문학과,인문대학
2019-04-03 9:40,2019-04-22 8:09,E768152,9.78896E+12,고급 모의 침투 테스팅 :APT 공격과 모의 침투 테스트의 실제,대출,137,2012,전자정보공학부 전자공학전공,IT대학
2019-04-03 9:40,2019-04-22 8:09,E768152,9.78896E+12,고급 모의 침투 테스팅 :APT 공격과 모의 침투 테스트의 실제,연장,137,2012,전자정보공학부 전자공학전공,IT대학
2019-04-03 9:40,2019-04-06 14:56,E671331,9.78896E+12,Black hat Python :해커와 모의 침투 테스터를 위한 공격용 파이썬 프로그래밍,대출,137,2012,전자정보공학부 전자공학전공,IT대학
2019-04-03 9:40,2019-04-06 14:56,E742338,9.79119E+12,(파이썬으로 배우는) Anti-virus 구조와 원리 :악성코드의 진단과 치료,대출,137,2012,전자정보공학부 전자공학전공,IT대학
2019-04-03 9:40,2019-04-09 20:39,E772253,9.78893E+12,이기적 유전자,대출,76,2012,금융학부,경영대학
2019-04-03 9:40,2019-04-04 14:10,E651670,9.789E+12,과학기술과 지식재산,대출,7,2017,법학과,법과대학
2019-04-03 9:40,2019-04-05 16:39,E764690,9.78896E+12,(보면 아는) 블록체인 :그림으로 이해하는 세상을 바꿀 이야기,대출,7,2017,법학과,법과대학
2019-04-03 9:40,2019-04-04 14:10,E746620,9.79119E+12,(알기 쉬운) 블록체인 :4차 산업혁명의 핵심 기술!,대출,7,2017,법학과,법과대학
2019-04-03 9:41,2019-04-05 16:39,E759256,9.78899E+12,지식재산권 남용과 공정거래연구,대출,7,2017,법학과,법과대학
2019-04-03 9:43,2019-04-05 16:39,E776308,9.79116E+12,"블록체인 기술과 혁신적 서비스 개발 활용: 비트코인, 이더리움 기술 그리고 ICO, 암호화폐 헬스케어, 오픈 사이언스까지",대출,7,2017,법학과,법과대학
2019-04-03 9:48,2019-04-25 11:41,E564840,9.78898E+12,사랑을 찾아 돌아오다:기욤 뮈소 장편소설,대출,20,2014,전자정보공학부 IT융합전공,IT대학
2019-04-03 9:48,2019-04-25 11:41,E564840,9.78898E+12,사랑을 찾아 돌아오다:기욤 뮈소 장편소설,연장,20,2014,전자정보공학부 IT융합전공,IT대학
2019-04-03 9:48,2019-04-25 11:41,E564840,9.78898E+12,사랑을 찾아 돌아오다:기욤 뮈소 장편소설,연장,20,2014,전자정보공학부 IT융합전공,IT대학
2019-04-03 9:48,2019-04-24 18:52,E661293,9.78898E+12,재무행정론,대출,27,2018,행정학부,사회과학대학
2019-04-03 9:48,2019-04-24 18:52,E661293,9.78898E+12,재무행정론,연장,27,2018,행정학부,사회과학대학
2019-04-03 9:50,2019-05-02 13:38,E633307,9.78898E+12,행정이론 :행정사와 이론을 중심으로,대출,27,2018,행정학부,사회과학대학
2019-04-03 9:52,2019-05-02 13:38,E633307,9.78898E+12,행정이론 :행정사와 이론을 중심으로,연장,27,2018,행정학부,사회과학대학
2019-04-03 9:53,2019-05-02 13:38,E633307,9.78898E+12,행정이론 :행정사와 이론을 중심으로,연장,27,2018,행정학부,사회과학대학
2019-04-03 10:02,2019-05-02 18:52,E768846,9.7912E+12,용기를 잃지 말고 힘내요 :당신의 상처를 어루만져 줄 한마디 :김지훈 에세이,대출,29,2016,전자정보공학부 IT융합전공,IT대학
2019-04-03 10:03,2019-05-02 18:52,E768846,9.7912E+12,용기를 잃지 말고 힘내요 :당신의 상처를 어루만져 줄 한마디 :김지훈 에세이,연장,29,2016,전자정보공학부 IT융합전공,IT대학
2019-04-03 10:05,2019-05-02 18:52,E768846,9.7912E+12,용기를 잃지 말고 힘내요 :당신의 상처를 어루만져 줄 한마디 :김지훈 에세이,연장,29,2016,전자정보공학부 IT융합전공,IT대학
2019-04-03 10:09,2019-04-10 16:24,E771480,9.78895E+12,보기왕이 온다 :사와무라 이치 장편소설,대출,29,2016,전자정보공학부 IT융합전공,IT대학
2019-04-03 10:11,2019-04-10 16:24,E771480,9.78895E+12,보기왕이 온다 :사와무라 이치 장편소설,연장,29,2016,전자정보공학부 IT융합전공,IT대학
2019-04-03 10:11,2019-04-01 16:17,E750214,9.79119E+12,(전기전자 컴퓨터공학을 위한) 확률과 확률과정,대출,50,2016,정보통계·보험수리학과,자연과학대학
2019-04-03 10:14,2019-04-22 20:36,E747359,9.79113E+12,(Beer의) 재료역학,대출,61,2017,영어영문학과,인문대학
2019-04-03 10:16,2019-04-22 20:36,E747359,9.79113E+12,(Beer의) 재료역학,연장,61,2017,영어영문학과,인문대학
2019-04-03 10:18,2019-04-22 20:36,E747359,9.79113E+12,(Beer의) 재료역학,연장,61,2017,영어영문학과,인문대학
2019-04-03 10:18,2019-04-24 11:55,E710737,9.79116E+12,너는 내가 버리지 못한 유일한 문장이다 :이훤 시집,대출,6,2019,국어국문학과,인문대학
2019-04-03 10:22,2019-04-24 11:55,E710737,9.79116E+12,너는 내가 버리지 못한 유일한 문장이다 :이훤 시집,연장,6,2019,국어국문학과,인문대학
2019-04-03 10:22,2019-04-05 13:24,E579570,9.78896E+12,계량경제학 = Principles of Econometrics,대출,39,2013,경제학과,경제통상대학
2019-04-03 10:24,2019-04-12 14:47,E519750,9.78893E+12,앵무새 죽이기,대출,75,2014,컴퓨터학부,IT대학
2019-04-03 10:24,2019-04-12 14:47,E519750,9.78893E+12,앵무새 죽이기,연장,75,2014,컴퓨터학부,IT대학
2019-04-03 10:24,2019-04-12 14:47,E519750,9.78893E+12,앵무새 죽이기,연장,75,2014,컴퓨터학부,IT대학
2019-04-03 10:25,2019-04-12 14:47,E719941,9.789E+12,돌이킬 수 없는 약속 :야쿠마루 가쿠 장편소설,대출,75,2014,컴퓨터학부,IT대학
2019-04-03 10:26,2019-04-12 14:47,E719941,9.789E+12,돌이킬 수 없는 약속 :야쿠마루 가쿠 장편소설,연장,75,2014,컴퓨터학부,IT대학
2019-04-03 10:26,2019-04-12 14:47,E719941,9.789E+12,돌이킬 수 없는 약속 :야쿠마루 가쿠 장편소설,연장,75,2014,컴퓨터학부,IT대학
2019-04-03 10:26,2019-05-02 16:19,E491240,9.78898E+12,현대시의 발견과 성찰,대출,78,2014,국어국문학과,인문대학
2019-04-03 10:26,2019-05-02 16:19,E491240,9.78898E+12,현대시의 발견과 성찰,연장,78,2014,국어국문학과,인문대학
2019-04-03 10:26,2019-05-02 16:19,E491240,9.78898E+12,현대시의 발견과 성찰,연장,78,2014,국어국문학과,인문대학
2019-04-03 10:26,2019-04-10 12:56,E767959,9.79116E+12,현대시와 추醜의 미학,대출,78,2014,국어국문학과,인문대학
2019-04-03 10:26,2019-04-24 17:11,E722723,9.79113E+12,경영전략 =Strategic management,대출,56,2014,경영학부,경영대학
2019-04-03 10:26,2019-04-24 17:11,E722723,9.79113E+12,경영전략 =Strategic management,연장,56,2014,경영학부,경영대학
2019-04-03 10:26,2019-04-24 17:11,E722723,9.79113E+12,경영전략 =Strategic management,연장,56,2014,경영학부,경영대학
2019-04-03 10:26,2019-04-02 8:34,E781002,9.79119E+12,재무관리연습 =Advanced Financial management,대출,6,2015,회계학과,경영대학
2019-04-03 10:32,2019-04-12 13:46,E712721,9.79116E+12,위르겐 클롭,대출,11,2019,사학과,인문대학
2019-04-03 10:32,2019-04-12 13:46,E712721,9.79116E+12,위르겐 클롭,연장,11,2019,사학과,인문대학
2019-04-03 10:37,2019-04-12 13:46,E697413,9.78894E+12,동아시아를 만든 열가지 사건 :한국 일본 중국 대만이 함께 읽는 근현대사,대출,11,2019,사학과,인문대학
2019-04-03 10:51,2019-03-28 13:33,E653357,9.789E+12,(네가 어떤 삶을 살든) 나는 너를 응원할 것이다 :공지영 산문,대출,69,2018,전자정보공학부 전자공학전공,IT대학
2019-04-03 10:55,2019-04-17 14:59,E599644,9.78896E+12,(로스쿨) 국제거래법 :이론과 사례,대출,15,2012,불어불문학과,인문대학
2019-04-03 10:56,2019-04-17 14:59,E599644,9.78896E+12,(로스쿨) 국제거래법 :이론과 사례,연장,15,2012,불어불문학과,인문대학
2019-04-03 10:56,2019-04-17 14:59,E599644,9.78896E+12,(로스쿨) 국제거래법 :이론과 사례,연장,15,2012,불어불문학과,인문대학
2019-04-03 10:56,2019-04-02 18:06,E613199,9.78896E+12,웬만해선 그녀의 컴플레인을 막을 수 없다 :부당한 기업 횡포에 쫄지 않는 대리 만족 투쟁기,대출,22,2013,건축학부,공과대학
2019-04-03 10:56,2019-04-18 9:02,E749903,9.79116E+12,國王 국어 포켓북,대출,166,2012,중어중문학과,인문대학
2019-04-03 10:56,2019-04-18 9:02,E749903,9.79116E+12,國王 국어 포켓북,연장,166,2012,중어중문학과,인문대학
2019-04-03 10:58,2019-03-29 14:55,E706829,9.78899E+12,판문점,대출,31,2018,화학과,자연과학대학
2019-04-03 10:58,2019-04-30 20:38,E768658,9.78895E+12,북미 대립 :탈냉전 속의 냉전 대립,대출,42,2018,행정학부,사회과학대학
2019-04-03 11:03,2019-04-30 20:38,E768658,9.78895E+12,북미 대립 :탈냉전 속의 냉전 대립,연장,42,2018,행정학부,사회과학대학
2019-04-03 11:03,2019-04-30 20:38,E768658,9.78895E+12,북미 대립 :탈냉전 속의 냉전 대립,연장,42,2018,행정학부,사회과학대학
2019-04-03 11:03,2019-04-11 9:36,E768657,9.78895E+12,북미 대립 :탈냉전 속의 냉전 대립,대출,106,2018,행정학부,사회과학대학
2019-04-03 11:10,2019-04-11 9:36,E768657,9.78895E+12,북미 대립 :탈냉전 속의 냉전 대립,연장,106,2018,행정학부,사회과학대학
2019-04-03 11:12,2019-04-11 14:49,E636683,9.78897E+12,(UML과 GoF 디자인 패턴 핵심 10가지로 배우는) JAVA 객체지향 디자인 패턴,대출,8,2015,글로벌미디어학부,IT대학
2019-04-03 11:12,2019-04-11 14:49,E636683,9.78897E+12,(UML과 GoF 디자인 패턴 핵심 10가지로 배우는) JAVA 객체지향 디자인 패턴,연장,8,2015,글로벌미디어학부,IT대학
2019-04-03 11:17,2019-04-11 14:49,E636683,9.78897E+12,(UML과 GoF 디자인 패턴 핵심 10가지로 배우는) JAVA 객체지향 디자인 패턴,연장,8,2015,글로벌미디어학부,IT대학
2019-04-03 11:17,2019-04-08 18:47,E536674,9.78899E+12,죄와 벌,대출,1,2019,사학과,인문대학
2019-04-03 11:17,2019-05-08 14:14,E740457,9.78893E+12,(취업의 신 박장호 대표의) 자기소개서 혁명,대출,3,2013,전기공학부,공과대학
2019-04-03 11:17,2019-05-08 14:14,E740457,9.78893E+12,(취업의 신 박장호 대표의) 자기소개서 혁명,연장,3,2013,전기공학부,공과대학
2019-04-03 11:19,2019-04-03 13:32,E777008,9.79116E+12,(NCS 직업기초능력평가) 수리능력 완전정복,대출,3,2013,전기공학부,공과대학
2019-04-03 11:23,2019-03-28 16:59,E443406,9.78895E+12,데이터베이스 시스템,대출,32,2015,전자정보공학부 전자공학전공,IT대학
2019-04-03 11:23,2019-03-28 16:59,E756024,9.79116E+12,이것이 오라클이다  :Oracle 설치부터 PL/SQL 정복까지!,대출,32,2015,전자정보공학부 전자공학전공,IT대학
2019-04-03 11:23,2019-03-28 16:58,E674832,9.79116E+12,"(DBA를 위한) MySQL 운영 기술 :모니터링, 백업/복구, 이중화, 도구와 기법",대출,32,2015,전자정보공학부 전자공학전공,IT대학
2019-04-03 11:25,2019-04-10 16:53,E523117,9.78896E+12,나이트 =Night :살아남은자의 기록,대출,12,2019,불어불문학과,인문대학
2019-04-03 11:31,2019-04-05 11:07,E779094,9.78893E+12,대학생 사장님: 돈 없이 창업해서 졸업 전에 1천만 원 통장 만들기,대출,82,2017,글로벌통상학과,경제통상대학
2019-04-03 11:33,2019-03-29 14:50,E593916,9.78896E+12,이스라엘의 역사=History of Israel,대출,2,2019,사학과,인문대학
2019-04-03 11:35,2019-04-01 16:17,E533756,9.78896E+12,한여름 밤의 꿈,대출,12,2018,예술창작학부 문예창작전공,인문대학
2019-04-03 11:35,2019-04-10 18:35,W215741,9.7803E+12,"Allegories of reading :figural language in Rousseau, Nietzsche, Rilke, and Proust",대출,13,2018,경영학부,경영대학
2019-04-03 11:35,2019-04-16 12:06,E780012,9.7912E+12,(2019 신영식) 해동한국사 실전동형모의고사: 적중 X-파일,대출,166,2012,중어중문학과,인문대학
2019-04-03 11:35,2019-04-16 12:06,E780012,9.7912E+12,(2019 신영식) 해동한국사 실전동형모의고사: 적중 X-파일,연장,166,2012,중어중문학과,인문대학
2019-04-03 11:35,2019-04-16 12:06,E780012,9.7912E+12,(2019 신영식) 해동한국사 실전동형모의고사: 적중 X-파일,연장,166,2012,중어중문학과,인문대학
2019-04-03 11:35,2019-03-28 14:52,E760049,9.79116E+12,자바로 배우는 핵심 자료구조와 알고리즘,대출,64,2018,컴퓨터학부,IT대학
2019-04-03 11:35,2019-04-12 14:53,E706976,9.7912E+12,미국 민사소송법 개론 =US civil procedure review,대출,108,2016,법학과,법과대학
2019-04-03 11:43,2019-04-15 13:20,E686182,9.79113E+12,계량경제학.1,대출,167,2013,경제학과,경제통상대학
2019-04-03 11:45,2019-04-15 13:20,E686182,9.79113E+12,계량경제학.1,연장,167,2013,경제학과,경제통상대학
2019-04-03 11:47,2019-04-15 13:20,E686182,9.79113E+12,계량경제학.1,연장,167,2013,경제학과,경제통상대학
2019-04-03 11:47,2019-04-23 19:50,E765773,9.79116E+12,Trinity of macroeconomics :ver. 5.0,대출,167,2013,경제학과,경제통상대학
2019-04-03 11:50,2019-04-23 19:50,E765773,9.79116E+12,Trinity of macroeconomics :ver. 5.0,연장,167,2013,경제학과,경제통상대학
2019-04-03 11:51,2019-04-23 19:50,E765773,9.79116E+12,Trinity of macroeconomics :ver. 5.0,연장,167,2013,경제학과,경제통상대학
2019-04-03 11:52,2019-04-23 19:50,E765774,9.79116E+12,Trinity of macroeconomics :ver. 5.0,대출,167,2013,경제학과,경제통상대학
2019-04-03 11:52,2019-04-23 19:50,E765774,9.79116E+12,Trinity of macroeconomics :ver. 5.0,연장,167,2013,경제학과,경제통상대학
2019-04-03 11:55,2019-04-23 19:50,E765774,9.79116E+12,Trinity of macroeconomics :ver. 5.0,연장,167,2013,경제학과,경제통상대학
2019-04-03 11:56,2019-04-23 19:50,E552312,9.78898E+12,거시경제학:연습문제 풀이·해답집(보충문제 및 풀이 수록),대출,167,2013,경제학과,경제통상대학
2019-04-03 11:56,2019-04-23 19:50,E552312,9.78898E+12,거시경제학:연습문제 풀이·해답집(보충문제 및 풀이 수록),연장,167,2013,경제학과,경제통상대학
2019-04-03 11:56,2019-04-23 19:50,E552312,9.78898E+12,거시경제학:연습문제 풀이·해답집(보충문제 및 풀이 수록),연장,167,2013,경제학과,경제통상대학
2019-04-03 11:56,2019-04-16 14:24,E718097,9.79116E+12,(Romer) 거시경제학,대출,167,2013,경제학과,경제통상대학
2019-04-03 11:57,2019-04-11 10:10,E628755,9.78899E+12,세계경제의 메가트렌드에 주목하라 :월스트리트의 투자 귀재 짐 로저스의 미래투자 전략,대출,7,2017,금융학부,경영대학
2019-04-03 12:00,2019-04-10 13:40,E195022,,罪와 罰,대출,4,2014,전기공학부,공과대학
2019-04-03 12:02,2019-04-10 13:41,E195019,,罪와 罰,대출,4,2014,전기공학부,공과대학
2019-04-03 12:04,2019-04-01 14:40,E585213,9.789E+12,나눔과 상생의 경제 :사회적기업,대출,2,2015,행정학부,사회과학대학
2019-04-03 12:05,2019-04-11 13:18,E659023,9.78896E+12,가정이 웃어야 나라가 웃는다,대출,12,2018,사회복지학부,사회과학대학
2019-04-03 12:05,2019-04-29 11:46,E603758,9.78897E+12,방송학 개론,대출,18,2014,사회복지학부,사회과학대학
2019-04-03 12:05,2019-04-29 11:46,E603758,9.78897E+12,방송학 개론,연장,18,2014,사회복지학부,사회과학대학
2019-04-03 12:05,2019-04-29 11:46,E603758,9.78897E+12,방송학 개론,연장,18,2014,사회복지학부,사회과학대학
2019-04-03 12:06,2019-04-24 11:32,W181210,9.78072E+12,Genetics :a conceptual approach,대출,18,2015,의생명시스템학부,자연과학대학
2019-04-03 12:06,2019-04-24 11:32,W181210,9.78072E+12,Genetics :a conceptual approach,연장,18,2015,의생명시스템학부,자연과학대학
2019-04-03 12:06,2019-04-24 11:32,W213706,9.78082E+12,The immune system,대출,18,2015,의생명시스템학부,자연과학대학
2019-04-03 12:06,2019-04-24 11:32,W213706,9.78082E+12,The immune system,연장,18,2015,의생명시스템학부,자연과학대학
2019-04-03 12:10,2019-04-15 13:23,E523152,9.78897E+12,아프니까 청춘이다:인생 앞에 홀로 선 젊은 그대에게,대출,1,2018,산업·정보시스템공학과,공과대학
2019-04-03 12:10,2019-04-15 16:52,E523153,9.78897E+12,아프니까 청춘이다:인생 앞에 홀로 선 젊은 그대에게,대출,1,2018,산업·정보시스템공학과,공과대학
2019-04-03 12:12,2019-04-10 14:26,E548690,9.78894E+12,도가니:공지영 장편소설,대출,3,2019,사회복지학부,사회과학대학
2019-04-03 12:18,2019-04-15 14:21,E635784,9.79116E+12,역사를 바꾼 위대한 연설,대출,24,2015,정치외교학과,사회과학대학
2019-04-03 12:18,2019-04-15 14:21,E635784,9.79116E+12,역사를 바꾼 위대한 연설,연장,24,2015,정치외교학과,사회과학대학
2019-04-03 12:19,2019-04-23 12:47,E638405,9.78896E+12,니콜로 마키아벨리 군주론,대출,24,2015,정치외교학과,사회과학대학
2019-04-03 12:19,2019-04-23 12:47,E638405,9.78896E+12,니콜로 마키아벨리 군주론,연장,24,2015,정치외교학과,사회과학대학
2019-04-03 12:19,2019-04-23 12:47,E678072,9.78894E+12,마키아벨리를 위한 변명 :군주론,대출,24,2015,정치외교학과,사회과학대학
2019-04-03 12:19,2019-04-23 12:47,E678072,9.78894E+12,마키아벨리를 위한 변명 :군주론,연장,24,2015,정치외교학과,사회과학대학
2019-04-03 12:21,2019-05-08 11:15,E666691,9.789E+12,미움받을 용기,대출,3,2016,경제학과,경제통상대학
2019-04-03 12:25,2019-05-08 11:15,E666691,9.789E+12,미움받을 용기,연장,3,2016,경제학과,경제통상대학
2019-04-03 12:27,2019-05-08 11:15,E666691,9.789E+12,미움받을 용기,연장,3,2016,경제학과,경제통상대학
2019-04-03 12:39,2019-04-08 16:04,E545277,9.78896E+12,전기기기,대출,1,2016,전기공학부,공과대학
2019-04-03 12:40,2019-04-16 18:50,E650974,9.78899E+12,연금수리 perfect 정리 :보험계리사 2차시험 대비,대출,14,2014,금융학부,경영대학
2019-04-03 12:40,2019-04-16 18:50,E650974,9.78899E+12,연금수리 perfect 정리 :보험계리사 2차시험 대비,연장,14,2014,금융학부,경영대학
2019-04-03 12:43,2019-04-16 18:50,E650974,9.78899E+12,연금수리 perfect 정리 :보험계리사 2차시험 대비,연장,14,2014,금융학부,경영대학
2019-04-03 12:43,2019-04-17 9:51,E353513,9.78898E+12,(미니탭을 이용한) 통계학의 이해와 응용,대출,11,2016,소프트웨어학부,IT대학
2019-04-03 12:45,2019-04-17 9:51,E353513,9.78898E+12,(미니탭을 이용한) 통계학의 이해와 응용,연장,11,2016,소프트웨어학부,IT대학
2019-04-03 12:50,2019-04-03 13:56,E452516,9.78894E+12,이클립스:스테프니 메이어 장편소설,대출,15,2013,전기공학부,공과대학
2019-04-03 12:50,2019-04-11 20:02,E463301,9.78894E+12,브레이킹 던:스테프니 메이어 장편소설,대출,15,2013,전기공학부,공과대학
2019-04-03 12:52,2019-04-11 20:02,E463301,9.78894E+12,브레이킹 던:스테프니 메이어 장편소설,연장,15,2013,전기공학부,공과대학
2019-04-03 12:54,2019-05-01 13:36,E618988,9.78899E+12,(쉽게 읽는 칸트)판단력 비판,대출,34,2013,기계공학부,공과대학
2019-04-03 12:55,2019-05-01 13:36,E618988,9.78899E+12,(쉽게 읽는 칸트)판단력 비판,연장,34,2013,기계공학부,공과대학
2019-04-03 12:55,2019-05-01 13:36,E618988,9.78899E+12,(쉽게 읽는 칸트)판단력 비판,연장,34,2013,기계공학부,공과대학
2019-04-03 13:01,2019-05-01 16:43,E780827,9.78897E+12,탄핵 인사이드 아웃: 탄핵심판·형사재판 변호사의 1년간의 기록,대출,80,2014,회계학과,경영대학
