2017-03-02 7:59,입구,232,2015,유기신소재·파이버공학과,공과대학
2017-03-02 8:00,입구,32,2015,유기신소재·파이버공학과,공과대학
2017-03-02 8:00,출구,493,2017,경영학부,경영대학
2017-03-02 8:00,출구,358,2011,행정학부,사회과학대학
2017-03-02 8:01,출구,284,2015,화학공학과,공과대학
2017-03-02 8:01,입구,236,2016,영어영문학과,인문대학
2017-03-02 8:01,입구,173,2015,컴퓨터학부,IT대학
2017-03-02 8:02,출구,268,2015,산업·정보시스템공학과,공과대학
2017-03-02 8:02,출구,494,9873,정치외교학과,사회과학대학
2017-03-02 8:04,입구,181,2015,유기신소재·파이버공학과,공과대학
2017-03-02 8:05,입구,5078,2010,정치외교학과,사회과학대학
2017-03-02 8:05,출구,594,2011,행정학부,사회과학대학
2017-03-02 8:06,입구,36,2015,유기신소재·파이버공학과,공과대학
2017-03-02 8:06,입구,346,2013,경영학부,경영대학
2017-03-02 8:07,출구,234,2017,행정학부,사회과학대학
2017-03-02 8:08,출구,147,2017,행정학부,사회과학대학
2017-03-02 8:09,입구,290,2001,정보통신전자공학부,IT대학
2017-03-02 8:13,출구,613,2015,경영학부,경영대학
2017-03-02 8:14,출구,19,9681,법학과,법과대학
2017-03-02 8:18,입구,96,2017,AI융합학부,IT대학
2017-03-02 8:18,입구,228,2017,AI융합학부,IT대학
2017-03-02 8:21,출구,237,2017,전기공학부,공과대학
2017-03-02 8:22,출구,1278,2012,컴퓨터학부,IT대학
2017-03-02 8:23,입구,987,2012,경제학과,경제통상대학
2017-03-02 8:23,출구,386,2013,전기공학부,공과대학
2017-03-02 8:23,입구,102,2017,AI융합학부,IT대학
2017-03-02 8:23,출구,86,2017,글로벌통상학과,경제통상대학
2017-03-02 8:23,입구,436,2014,전자정보공학부 전자공학전공,IT대학
2017-03-02 8:24,출구,190,2017,영어영문학과,인문대학
2017-03-02 8:24,입구,688,2014,전자정보공학부 IT융합전공,IT대학
2017-03-02 8:24,입구,357,2016,영어영문학과,인문대학
2017-03-02 8:24,입구,24,2014,전자정보공학부 IT융합전공,IT대학
2017-03-02 8:24,출구,165,2017,글로벌통상학과,경제통상대학
2017-03-02 8:24,입구,534,2014,기계공학부,공과대학
2017-03-02 8:25,입구,153,2017,기계공학부,공과대학
2017-03-02 8:26,출구,510,2012,철학과,인문대학
2017-03-02 8:26,입구,160,2017,기계공학부,공과대학
2017-03-02 8:26,입구,46,2014,글로벌통상학과,경제통상대학
2017-03-02 8:26,입구,241,2014,컴퓨터학부,IT대학
2017-03-02 8:26,입구,28,2012,화학과,자연과학대학
2017-03-02 8:27,출구,242,2013,화학공학과,공과대학
2017-03-02 8:27,출구,48,2013,글로벌통상학과,경제통상대학
2017-03-02 8:27,출구,95,2017,경영학부,경영대학
2017-03-02 8:27,입구,759,2012,영어영문학과,인문대학
2017-03-02 8:27,입구,152,2011,기계공학부,공과대학
2017-03-02 8:27,입구,284,2015,화학공학과,공과대학
2017-03-02 8:27,출구,537,2011,컴퓨터학부,IT대학
